Fr,En
tom,Tom
joe,joe
disait,said
you,you
recherche,research
continuer,Carry on
ignore,ignore
l,I
aimé,love
poser,to pose
chaud,warm
lettre,letter
avance,advance
tiré,drawn
arrivée,arrival
bar,bar
quitter,leave
david,david
connaître,to know
loi,law
connaît,know
gamin,kid
laquelle,which
folle,crazy woman
professeur,teacher
jure,sworn
joué,play
essaye,try
froid,cold
forme,shape
bonnes,good
normal,normal
but,aim
offre,offer
conseil,advice
con,stupid
debout,standing
dangereux,dangerous
tranquille,calm
prêts,loans
boîte,box
mike,mike
ciel,sky
classe,class
frank,Frank
danger,danger
enquête,investigation
télé,TV
oublier,to forget
visite,visit
juge,judge
bons,good
poste,job
lu,read
attaque,offensive
touche,touches 
droite,right
george,George
aimer,like
vivant,alive
monte,mounted
coucher,to sleep
tombe,grave
jeunes,youth
preuve,evidence
dame,lady
flic,cop
écouter,to listen
met,put
cuisine,kitchen
relation,relationship
dossier,case
sentir,feel
blanc,white
serez,will be
chanson,song
gueule,mouth
santé,health 
déjeuner,breakfast
pourtant,yet
change,exchange
travers,through
entrez,Come in
signifie,means
âme,soul
voler,fly
centre,center
chacun,each
tire,drawn
lieutenant,lieutenant
certain,certain
compagnie,company
vit,lives
m,M
mecs,guys
ia,IA
mange,eat
manière,way
différent,different
bord,edge
décision,decision
n,not
vendre,to sell
aille,wing
enfer,hell 
sortez,get out
acheté,purchased
appartement,apartment
étrange,odd
nulle,nothing
monter,ascend
signe,sign
faisais,do
payé,paid
c,vs
écrire,write
viennent,are coming
cheval,horse
secondes,seconds
peter,to fart
responsable,responsible
coupable,guilty
honte,shame 
emmener,bring
préfère,favorite
ordres,orders
soin,care
milieu,environment
prochain,next
aurez,will have
rire,to laugh
cerveau,brain
voie,way
amoureux,in love
allée,aisle
paris,Paris
silence,silence
t,t
drogue,dope
coups,strokes
blague,joke
trou,hole
choisi,selected
retourne,return
oeil,eye
intérêt,interest
connu,known
ll,ll
tel,Phone
public,audience
réunion,meeting
dirai,will say
capable,able
client,customer
époque,era
existe,exist
pleine,full
prise,socket
ecoutez,Listen
adresse,address
cacher,to hide
combat,fight
peau,skin
pute,whore
dingue,crazy
sent,feel
faisons,let's do
blessé,injured
paul,Paul
promets,promotion
fiche,form
bière,beer
présente,present
preuves,evidence
max,max
colonel,colonel
lequel,which
don,Don
journal,log
société,company
quitté,quits
assis,sat
menti,lies
sept,seven
contact,contact
base,base
vin,wine
servir,to serve
exemple,example
jeter,discard
contente,satisfied
félicitations,congratulations
mer,sea
savent,know
tort,wrong
ouvert,open
récupérer,to recover
dommage,damage
gouvernement,government
pourriez,could
vol,flight
nez,nose
devient,bECOMES
sauvé,Safe
fut,was
héros,hero
tenez,hold
livres,books
horrible,horrible
prévu,planned
enceinte,pregnant
secours,rescue
entrée,hall
fric,money
opération,operation
seuls,only
témoin,witness
environ,around
répondre,answer
départ,departure
danse,dance
règles,rules
vérifier,check
dirais,would say
lune,moon
sexe,sex
and,and
justice,justice
terrible,terrible
peuple,people
auriez,would have
bruit,noise
intéressant,interesting
lycée,high school
ramener,to bring back
rêves,dreams
mise,putting
radio,radio
inutile,useless
excuse,excuse
tas,pile
banque,bank
apparemment,apparently
baiser,kiss
bête,beast
ridicule,ridiculous
avenir,coming
copine,friend
thé,tea
bande,bandaged
œil,eye
plupart,mostly
procès,court case
bravo,well done
verra,will see
position,position
pose,laid
sérieusement,seriously
pitié,pity
humain,human
approche,approach
liberté,freedom
appelez,call
revenu,returned
longue,long
étions,were
occupé,busy
certaines,some
anglais,English
nourriture,food
nord,north
partez,set off
deuxième,second
vaisseau,vessel
toilettes,bathroom
éviter,to avoid
utilisé,used
cour,court
rôle,role
expérience,experience
match,match
grands,tidy
ennuis,troubles
fbi,FBI
empêcher,to prevent
directeur,director
mur,wall
croit,believes
faudra,will have to
vêtements,clothes
conneries,bullshit
conduire,conduct
d,d
tombé,grave
défense,defense
tante,aunt
marier,marry
vide,empty
danny,Danny
spécial,special
sud,south
censé,supposed
église,church
merveilleux,wonderful
aie,Ouch
james,james
huit,eight
sol,ground
excuser,excuse
avions,planes
personnel,personal
comprenez,understand
hum,hum
jimmy,jimmy
bombe,bomb
intéresse,interested
code,coded
niveau,level
paraît,appears
fenêtre,window
magasin,store
asseoir,Sit
chère,Dear
vidéo,video
aimais,loved
sergent,sergeant
mignon,cute
obtenir,to obtain
alex,Alex
reine,Queen
amérique,America
espoir,hope
certainement,certainly
glace,ice
mien,mine
presse,hurry
revient,come back
souvenir,memory
terrain,pitch
danser,to dance
clients,clients
arrivera,to arrive at
quartier,neighborhood
lorsque,when
tourne,turned
douleur,pain
aimez,like
mesdames,ladies
rose,pink
parie,bett
zone,area
ravi,very pleased
sarah,sarah
spectacle,spectacle
bob,bob
jane,jane
proche,close
présenter,to present
sache,beam
honnête,honest
petites,small
irai,go
rapide,fast
touché,hit
rendu,rendering
derniers,last
connard,asshole
village,village
importance,importance
travaillé,work
nul,bad
mangé,eat
mérite,deserved
bill,bill
assurer,ensure
sexy,sexy
essayez,try
fier,proud
prouver,to prove
vis,screw
occasion,opportunity
projet,project
rencontre,encounter
apprécie,appreciate
marié,married
machine,machine
parole,word
frères,brothers
savons,soaps
gosse,kid
officier,officer
discuter,discuss
vacances,vacation
tony,tony
attendais,expected
remettre,to put back
idées,ideas
copain,boyfriend
chaussures,shoes
respect,respect
